planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
KMT-2022-BLG-0440L b,0.0485,,1.9,,KMT-2022-BLG-0440L,0.53,,,
KMT-2022-BLG-0475 b,0.079,,2.03,,KMT-2022-BLG-0475,0.43,,,
KMT-2022-BLG-0732 b,1.12,,4.1,,KMT-2022-BLG-0732,0.53,,,
KMT-2022-BLG-1013 b,0.31,,1.38,,KMT-2022-BLG-1013,,,,
KMT-2022-BLG-1480 b,0.083,,1.22,,KMT-2022-BLG-1480,0.18,,,
KMT-2022-BLG-1787 b,6.64,,6.3,,KMT-2022-BLG-1787,0.42,,,
KMT-2022-BLG-1852 b,5.0,,5.0,,KMT-2022-BLG-1852,0.32,,,
KMT-2023-BLG-0416 b,6.15,,3.73,,KMT-2023-BLG-0416,0.61,,,
KMT-2023-BLG-0469 b,0.124,,2.37,,KMT-2023-BLG-0469,0.47,,,
KMT-2023-BLG-0735 b,0.12,,2.75,,KMT-2023-BLG-0735,0.61,,,
KMT-2023-BLG-1431L b,13.5,,2.75,,KMT-2023-BLG-1431L,0.57,,,
KMT-2023-BLG-1454 b,0.63,,1.18,,KMT-2023-BLG-1454,,,,
KMT-2023-BLG-1642 b,1.18,,1.37,,KMT-2023-BLG-1642,0.15,,,
KMT-2023-BLG-1866L b,0.0104,,2.55,,KMT-2023-BLG-1866L,0.5,,,
KOI-2700 b,0.00271,0.0946,,,KOI-2700,0.632,0.574,,4433.0
KOI-3886 Bb,66.1,1.524,0.072,2663.0,KOI-3886 B,1.608,3.61,2.05,5600.0
KOI-415 b,62.14,0.79,0.593,,KOI-415,0.94,1.25,10.5,5810.0
KOI-4427.01,,0.164,0.419,,KOI-4427,0.526,0.505,3.6,3813.0
KOI-4878 b,,0.0928,1.137,258.0,KOI-4878,0.972,1.068,,6031.0
KOI-4896 b,,0.1169,0.1421,725.0,2MASS J19233610+4844461,0.996,1.024,,6120.0
KOI-4896 c,,0.132,0.2637,532.0,2MASS J19233610+4844461,0.996,1.024,,6120.0
KOI-5372 b,,0.146,0.7026,337.0,2MASS J19334766+4244416,1.022,1.207,,5834.0
KOI-5 b,,0.0589,0.075,1124.0,KOI-5,,1.747,,5753.0
KOI-6276 b,,0.061,0.0313,579.0,2MASS J19071659+3751324,0.427,0.41,,3627.0
KOI-6526 b,,0.83,1.4638,409.0,2MASS J19434782+4014521,1.765,4.95,,5039.0
KOI-6532 b,,0.131,0.0168,1931.0,LPI-7913,0.945,0.989,,5705.0
KOI-6538 b,,0.136,0.5085,385.0,2MASS J19344243+4020026,1.035,1.032,,6133.0
KOI-6653 b,,0.109,0.1779,526.0,2MASS J19303502+4121109,0.939,0.838,,5496.0
KOI-6664 b,,0.086,0.1093,638.0,2MASS J19095216+4128178,0.798,0.742,,5547.0
KOI-6666 b,,0.068,0.0208,1681.0,2MASS J19330703+4124132,0.953,0.863,,5918.0
KOI-6672 b,,0.0928,0.0321,1182.0,2MASS J19012151+4132230,0.84,0.793,,5393.0
KOI-6793 b,,0.075,0.0443,1014.0,2MASS J19255900+4228412,0.886,0.799,,5411.0
KOI-6798 b,,0.3,0.0348,2104.0,2MASS J19361857+4224080,0.805,2.935,,5195.0
KOI-6918 b,,0.55,0.0172,1688.0,2MASS J19101695+4331542,0.826,0.755,,5776.0
KOI-6919 b,,0.11,0.0729,577.0,2MASS J19132930+4335283,0.668,0.675,,4298.0
KOI-6921 b,,0.11,0.0727,1080.0,2MASS J19200188+4330076,1.078,1.106,,6276.0
KOI-6925 b,,0.084,0.0882,416.0,2MASS J18452562+4339300,0.545,0.525,,3867.0
KOI-6931 b,,0.106,0.0368,1268.0,2MASS J19420054+4336355,1.028,0.911,,5778.0
KOI-6934 b,,0.198,0.1645,899.0,2MASS J18504142+4347179,1.197,2.388,,5349.0
KOI-7051 b,,0.106,0.0143,1367.0,2MASS J20052510+4431298,0.659,0.668,,4535.0
KOI-7057 b,,0.529,0.016,3365.0,2MASS J19264939+4437067,1.434,1.844,,7105.0
KOI-7069 b,,0.136,0.0203,1929.0,2MASS J19073983+4442163,1.08,1.024,,6158.0
KOI-7073 b,,2.6987,0.859,322.0,2MASS J19280416+4442477,1.08,1.143,,6338.0
KOI-7076 b,,0.12,0.1334,849.0,2MASS J19340728+4449579,1.2,1.178,,6475.0
KOI-7197 b,,0.131,0.0268,1230.0,2MASS J19394814+4614317,0.855,0.763,,5227.0
KOI-7209,,0.076,0.0818,1034.0,2MASS J19100257+4623238,1.066,1.113,,6357.0
KOI-7319 b,,0.087,0.1058,370.0,2MASS J18552341+4730563,0.535,0.526,,3761.0
KOI-7320 b,,0.062,0.0722,679.0,2MASS J19131131+4733361,0.693,0.715,,4889.0
KOI-7327 b,,0.174,0.1208,541.0,2MASS J18483788+4741115,0.727,0.752,,4918.0
KOI-7449 b,,1.252,0.0193,1097.0,2MASS J19013040+4927421,0.548,0.548,,4668.0
KOI-7455,,0.218,0.0536,2001.0,2MASS J19101799+4933042,1.44,2.069,,7302.0
KOI-7460 b,,0.136,0.0599,947.0,2MASS J19091658+4939251,0.88,0.927,,5455.0
KPNO-Tau 4,15.0,,,2350.0,,,,,
KPS-1 b,1.09,1.03,0.0269,1459.0,KPS-1,0.892,0.907,,5165.0
ksi Aql b,2.02,,0.58,,ksi Aql,2.2,12.0,,4780.0
L 168-9 b,0.01265,0.1392,0.0208,816.0,L 168-9,0.614,0.604,,3842.0
L2 Pup b,12.0,,2.0,,L2 Pup,0.659,,,3500.0
L 363-38 b,4.67,,0.048,,L 363-38,0.21,0.274,8.07,3129.0
L 98-59 b,0.0013,0.0758,0.02191,627.0,L 98-59,0.32,0.291,,3500.0
L 98-59 c,0.00698,0.12356,0.0304,553.0,L 98-59,0.32,0.291,,3500.0
L 98-59 d,0.0061,0.1357,0.0486,416.0,L 98-59,0.32,0.291,,3500.0
L 98-59 e,0.00963,,0.0717,432.0,L 98-59,0.32,0.291,,3500.0
Lalande 21185 b,0.00846,,0.0788,370.1,Lalande 21185,0.46,0.393,,3828.0
Lalande 21185 c,13.6,,2.94,,Lalande 21185,0.46,0.393,,3828.0
Lalande 21185 d,3.89,,0.5142,,Lalande 21185,0.46,0.393,,3828.0
lam2 For b,0.0529,,0.14,,lam2 For,1.18,,4.3,5936.0
lam Ser b,0.0428,,0.1238,,lam Ser,1.275,,,
LHS 1140 b,0.02196,0.15407,0.0936,230.0,LHS 1140,0.146,0.186,5.0,3131.0
LHS 1140 c,0.00569,0.11437,0.02675,,LHS 1140,0.146,0.186,5.0,3131.0
LHS 1478 b,0.00733,0.1106,0.01848,595.0,LHS 1478,0.236,0.246,,3381.0
LHS 1610 b,52.0,,0.0563,,LHS 1610,0.17,,,
LHS 1678 b,0.00019,0.06111,0.01239,,LHS 1678,0.345,0.329,,3490.0
LHS 1678 c,0.00123,0.08395,0.0327,,LHS 1678,0.345,0.329,,3490.0
LHS 1678 d,0.00289,0.08752,0.04,,LHS 1678,0.345,0.329,,3490.0
LHS 1815 b,0.0132,0.09707,0.0404,617.0,LHS 1815,0.502,0.501,,3643.0
LHS 2397a B,64.0,,3.09,,LHS 2397a A,0.0839,,1.5,2580.0
LHS 3154 b,0.04137,,0.0226,,LHS-3154,0.112,0.14,5.0,2861.0
LHS 3844 b,,0.1178,0.00623,805.0,LHS 3844,0.154,0.189,,3036.0
LHS 475 b,0.00308,0.0883,,586.0,LHS 475,0.262,0.2789,,3312.0
LHS 6176 B,45.0,,970.0,,LHS 6176 A,,,3.5,
LKCA 15 b,6.0,,15.7,,LKCA 15,0.97,,0.002,
LkCa 15 c,,,18.6,,LKCA 15,0.97,,0.002,
LOri 167,17.0,1.84,,2125.0,,,,,
LP 261-75 b,21.0,,450.0,,LP 261-75,0.22,,0.15,
LP 712-16 b,56.0,,,,LP 712-16,,,,
LP 714-47 b,0.0969,0.419,0.0417,700.0,LP 714-47,0.59,0.584,,3950.0
LP 791-18 b,,0.0999,0.00969,650.0,LP 791-18,0.139,0.17,0.5,2960.0
LP 791-18 c,0.0223,0.2061,0.029392,370.0,LP 791-18,0.139,0.17,0.5,2960.0
LP 791-18 d,0.0028,0.0919,,,LP 791-18,0.139,0.17,0.5,2960.0
LP 81-30 b,45.0,,,,LP 81-30,,,,
LP 890-9 b,0.0415,0.1178,0.01875,396.0,LP 890-9,0.118,0.1556,7.2,2850.0
LP 890-9 c,0.0796,0.12196,0.03984,272.0,LP 890-9,0.118,0.1556,7.2,2850.0
LSPM J2116+0234 b,0.042,,0.0876,,LSPM J2116+0234,0.43,0.431,,3475.0
LSR J1835,55.0,,,2800.0,LSR J1835,,,0.022,
LTT 1445A b,0.00903,0.11643,0.03813,424.0,LTT 1445A,0.256,0.27,,3340.0
LTT 1445A c,0.00485,0.10233,0.0266,508.0,LTT 1445A,0.256,0.27,,3340.0
LTT 1445A d,0.00856,,0.09,,LTT 1445A,0.256,0.27,,3340.0
LTT 9779 b,0.09225,0.4211,0.01679,2000.0,LTT 9779,1.0,0.92,,5445.0
Luhman 16 A,33.0,1.04,3.67,1210.0,,,,,
Luhman 16 B,29.1,0.84,3.67,1350.0,,,,,
Lupus-TR-3 b,0.81,0.89,0.0464,,Lupus-TR-3,0.87,0.82,,5000.0
LX Lyn b,60.0,,,,LX Lyn,1.3,,,
M62H b,2.47,,0.004908,,M62H,1.4,,,
MARVELS-10 b,14.8,,0.71,,TYC 4955-369-1,1.03,0.9,,6190.0
MARVELS-11 b,52.1,,0.1,,HD 114623,0.99,0.83,,5980.0
MARVELS-12 b,32.8,,0.85,,TYC 3469-492-1,1.29,2.39,,5285.0
MARVELS-13 b,41.8,,0.54,,GSC 03467-00030,0.96,1.03,,5525.0
MARVELS-16 b,42.7,,0.2,,TYC 3130-160-1,1.06,1.28,,5315.0
MARVELS-17 b,13.1,,0.45,,TYC 3547-1007-1,1.12,0.91,,6090.0
MARVELS-18 b,24.4,,0.51,,TYC 3556-3602-1,1.25,1.23,,6295.0
MARVELS-19 b,17.3,,0.52,,BD+42 3438,1.33,1.63,,6270.0
MARVELS-4 b,40.0,,0.09,,MARVELS-4,1.16,1.64,5.5,5903.0
MARVELS-5 b,65.0,,0.4142,,MARVELS-5,1.11,0.95,3.0,6004.0
MARVELS-6 b,31.7,,0.2673,,MARVELS-6,1.11,1.06,6.0,5598.0
MARVELS-8 b,37.7,,0.215,,TYC 123-549-1,1.02,0.95,,5540.0
MASCARA-1 b,3.7,1.5,0.043,,MASCARA-1,1.72,2.1,1.0,7554.0
MASCARA-3 b,5.18,1.272,0.06971,1458.0,HD 93148,1.461,1.506,0.77,6508.0
MOA-2007-BLG-192L b,0.0393,,2.0,,MOA-2007-BLG-192L,0.28,,,
MOA-2007-BLG-197L b,41.0,,4.29,,MOA-2007-BLG-197L,0.82,,,
MOA-2007-BLG-400L b,1.71,,3.9,,MOA-2007-BLG-400L,0.69,,,
MOA-2008-BLG-310L b,0.233,,1.25,,MOA-2008-BLG-310L,0.67,,,
MOA-2008-BLG-379L b,2.44,,3.0,,MOA-2008-BLG-379L,0.66,,,
MOA-2009-BLG-266L b,0.0327,,3.2,,MOA-2009-BLG-266L,0.56,,,
MOA-2009-BLG-319L b,0.208,,2.0,,MOA-2009-BLG-319,0.38,,,
MOA-2009-BLG-387L b,2.6,,1.8,,MOA-2009-BLG-387L,0.19,,,
MOA-2009-BLG-411L b,53.0,,0.15,,MOA 2009-BLG-411L,0.18,,,
MOA-2010-BLG-073L b,11.0,,1.21,,MOA-2010-BLG-073L,0.16,,,
MOA-2010-BLG-117 b,0.51,,2.9,,MOA-2010-BLG-117,0.58,,,
MOA-2010-BLG-328L b,0.029,,0.92,,MOA-2010-BLG-328L,0.11,,,
MOA-2010-BLG-353L b,0.27,,1.72,,MOA-2010-BLG-353L,0.18,,,
MOA-2010-BLG-477L b,1.4,,2.8,,MOA-2010-BLG-477L,0.53,,,
MOA-2011-BLG-028L b,0.094,,7.14,,MOA-2011-BLGL-028L,0.75,,,
MOA-2011-BLG-262L b,0.05663405,,0.84,,MOA-2011-BLG-262L,0.12,,,
MOA-2011-BLG-274 b,0.8,,40.0,,MOA-2011-BLG-274,,,,
MOA-2011-BLG-291 b,0.085,,1.4,,MOA-2011-BLG-291,0.22,,,
MOA-2011-BLG-293L b,4.8,,1.1,,MOA-2011-BLG-293L,0.86,,,
MOA-2011-BLG-322L b,7.8,,3.6,,MOA-2011-BLG-322,0.31,,,
MOA-2012-BLG-006 b,8.4,,10.2,,MOA-2012-BLG-006,0.49,,,
MOA-2012-BLG-505L b,6.7,,1.12,,MOA-2012-BLG-505L,0.1,,,
MOA-2013-BLG-220L b,2.74,,3.03,,MOA-2013-BLG-220L,0.88,,,
MOA-2013-BLG-605L b,0.066,,4.2,,MOA-2013-BLG-605L,0.19,,,
MOA-2014-BLG-472 b,1.9,,0.96,,MOA-2014-BLG-472,0.31,,,
MOA-2015-BLG-337 a,9.8,,0.24,,,,,,
MOA-2015-BLG-337 b,0.106,,0.24,,,,,,
MOA-2016-BLG-227L b,2.3,,1.64,,MOA-2016-BLG-227L,0.24,,,
MOA-2016-BLG-231 b,9.0,,0.88,,MOA-2016-BLG-231,0.021,,,
MOA-2016-BLG-319L b,0.62,,0.95,,MOA-2016-BLG-319L,0.15,,,
MOA-2016-BLG-526 b,6.93,,2.07,,MOA-2016-BLG-526,,,,
MOA-2016-BLG-532 b,0.41,,1.09,,MOA-2016-BLG-532,,,,
MOA-2019-BLG-008L b,24.0,,,,MOA-2019-BLG-008L,0.75,,,
MOA-2019-BLG-421 b,0.54,,2.0,,MOA-2019-BLG-421,0.3,,,
MOA-2020-BLG-135 b,0.0356,,1.11,,MOA-2020-BLG-135,0.23,,,
MOA-2020-BLG-208 b,0.2168,,2.88,,MOA-2020-BLG-208,0.656,,,
MOA-2022-BLG-249L b,0.0152,,1.63,,MOA-2022-BLG-249L,0.18,,,
MOA-2022-BLG-563 b,0.4,,2.25,,MOA-2022-BLG-563,0.48,,,
MOA-9y-5919,0.00176,,,,,,,,
MOA-9y-770,0.0702,,,,,,,,
MOA-bin-1L b,3.7,,8.3,,MOA-bin-1L,0.75,,,
MOA-bin-29 b,0.55,,1.13,,MOA-bin-29,6.5,,,
mu2 Oct b,6.9,,5.02,,mu2 Oct,,,,
mu2 Sco b,14.4,,242.4,,mu2 Sco,9.1,5.6,0.02,21700.0
mu Ara b,1.676,,1.5,,mu Ara,1.08,1.245,6.41,5700.0
mu Ara c,0.03321,,0.09094,,mu Ara,1.08,1.245,6.41,5700.0
mu Ara d,0.5219,,0.921,,mu Ara,1.08,1.245,6.41,5700.0
mu Ara e,1.814,,5.235,,mu Ara,1.08,1.245,6.41,5700.0
mu Leo b,2.4,,1.1,,mu Leo,1.5,11.4,3.35,4538.2
NGC 2423 3 b,10.6,,2.1,,NGC 2423 3,2.4,,0.75,
NGC 4349 127 b,19.8,,2.38,,NGC 4349 127,3.9,,0.21,
NGTS-10 b,2.162,1.205,0.0143,1332.0,NGTS-10,0.696,0.697,10.4,4400.0
NGTS-11 b,0.37,0.823,0.2,440.0,NGTS-11,0.862,0.832,3.9,5050.0
NGTS-11 c,,0.419,,,NGTS-11,0.862,0.832,3.9,5050.0
NGTS-12 b,0.208,1.048,0.0757,1257.0,NGTS-12,1.021,1.589,9.4,5690.0
NGTS-13 b,4.84,1.142,0.0549,1605.0,NGTS-13,1.3,1.788,4.23,5918.0
NGTS-14A b,0.092,0.44,0.0403,1143.0,NGTS-14A,0.898,0.842,5.9,5187.0
NGTS-15 b,0.751,1.1,0.0441,1146.0,NGTS-15,0.995,0.954,3.28,5600.0
NGTS-16 b,0.667,1.3,0.0523,1177.0,NGTS-16,1.002,1.213,10.29,5550.0
NGTS-17 b,0.764,1.24,0.0391,1457.0,NGTS-17,1.025,1.337,9.22,5650.0
NGTS-18 b,0.409,1.21,0.0448,1381.0,NGTS-18,1.003,1.392,10.84,5610.0
NGTS-1 b,0.812,1.33,0.0326,790.0,NGTS-1,0.617,0.573,,3916.0
NGTS-20 b,2.98,1.07,0.313,688.0,NGTS-20,1.47,1.78,4.1,5980.0
NGTS-21 b,2.36,1.33,0.0236,1357.0,NGTS-21,0.72,0.86,10.0,4660.0
NGTS-23 b,0.613,1.267,0.0504,1327.0,NGTS-23,1.01,1.24,6.39,6057.0
NGTS-24 b,0.52,1.214,0.0479,1499.0,NGTS-24,1.26,1.64,4.77,5820.0
NGTS-25 b,0.639,1.023,0.0388,1101.0,NGTS-25,0.91,0.86,3.49,5321.0
NGTS-26 b,0.29,1.33,0.049,1331.0,NGTS-26,0.96,1.16,11.5,5550.0
NGTS-27 b,0.593,1.396,0.0446,1783.0,NGTS-27,1.07,1.77,7.9,5700.0
NGTS-29 b,0.39,0.857,0.347,414.0,NGTS-29,1.034,1.006,2.1,5730.0
NGTS-2 b,0.67,1.536,0.0584,1638.0,NGTS-2,1.64,1.702,2.17,6478.0
NGTS-30 b,0.96,0.93,0.408,390.0,NGTS-30,0.94,0.913,1.1,5455.0
NGTS-3A b,2.38,1.48,0.023,,NGTS-3A,1.017,0.93,,5570.0
NGTS-4 b,0.0648,0.2837,0.019,1650.0,NGTS-4,0.75,0.84,,5143.0
NGTS-5 b,0.229,1.136,0.0382,952.0,NGTS-5,0.661,0.739,,4987.0
NGTS-6 b,1.33,1.271,0.016623018,,NGTS-6,0.7876,0.656,9.6,4410.0
NGTS-7A b,62.0,1.07,0.0139,,NGTS-7A,,0.61,0.055,3359.0
NGTS-8 b,0.93,1.09,0.035,1345.0,NGTS-8,0.89,0.98,12.48,5241.0
NGTS-9 b,2.9,1.07,0.058,1448.0,NGTS-9,1.34,1.38,0.96,6330.0
NLTT 25473 b,15.0,,,,NLTT 25473,,,,18500.0
NLTT 41135 b,33.7,1.13,0.024,,NLTT 41135,0.188,0.21,,3230.0
NLTT 51469 (AB)b,60.0,0.882,3834.0,1525.0,NLTT 51469,0.42,0.488,5.5,3410.0
NLTT 5306 b,56.0,,0.00263,,NLTT 5306,0.44,0.0156,0.71,7756.0
NN Ser (AB) c,6.91,,5.38,,NN Ser (AB),0.646,,,
NN Ser (AB) d,2.28,,3.39,,NN Ser (AB),0.646,,,
NN Ser e,9.43,,6.43,,NN Ser (AB),0.646,,,
NSVS 11868841 (AB)b,47.0,,,,NSVS 11868841 (AB),0.97,1.149,,5250.0
NSVS 1425 (AB) d,13.24,,3.12,,NSVS 1425 (AB),0.528,,,42000.0
NSVS 2502726 (AB)b,38.0,,3.69,,NSVS 2502726 (AB),0.689,0.674,,4353.0
NSVS 7453183 (ABC)b,50.0,,,,NSVS 7453183 (ABC),0.68,,,4533.0
NSVS 7826147 (AB)b,1.36,,3.957,,NSVS 7826147 (AB),0.442,0.172,,29200.0
nu2 CMa b,1.895,,1.761,,nu2 CMa,1.52,2.3,,4792.0
nu2 CMa c,0.906,,2.143,,nu2 CMa,1.52,2.3,,4792.0
nu2 Lup b,0.01472,0.14658,0.0963,911.0,nu2 Lup,,,,
nu2 Lup c,0.0353,0.25489,0.1717,682.0,nu2 Lup,,,,
nu2 Lup d,0.02725,0.22366,0.424,433.0,nu2 Lup,,,,
nu Oph b,22.206,,1.79,,nu Oph,3.04,15.1,,4928.0
nu Oph c,24.662,,5.931,,nu Oph,3.04,15.1,,4928.0
NY Vir (AB) b,2.78,,3.39,,NY Vir (AB),0.6,,,33000.0
NY Vir (AB) c,4.49,,7.54,,NY Vir (AB),0.6,,,33000.0
OGLE-2003-BLG-235L b,2.34,,4.0,,OGLE-2003-BLG-235L,0.56,,,
OGLE-2005-BLG-071L b,3.5,,3.6,,OGLE-2005-BLG-071L,0.46,,,
OGLE-2005-BLG-169L b,0.0444,,4.0,,OGLE-2005-BLG-169L,0.69,,,
OGLE-2005-BLG-390L b,0.017,,2.1,,OGLE-2005-BLG-390L,0.22,,,
OGLE-2006-109L b,0.727,,2.3,,OGLE-2006-BLG-109L,0.51,,,
OGLE-2006-109L c,0.271,,4.5,,OGLE-2006-BLG-109L,0.51,,,
OGLE-2006-BLG-284 b,0.453,,2.2,,OGLE-2006-BLG-284,0.45,,,
OGLE-2007-BLG-349L (AB) b,0.25,,2.59,,OGLE-2007-BLG-349L (AB),0.71,,,
OGLE-2007-BLG-368L b,0.0694,,3.3,,OGLE-2007-BLG-368L,0.64,,,
OGLE-2008-BLG-092L A b,0.18,,15.0,,OGLE-2008-BLG-092L A,0.71,,,
OGLE-2008-BLG-355L b,4.6,,1.7,,OGLE-2008-BLG-355L,0.37,,,
OGLE-2009-BLG-151L b,7.5,,0.31,,OGLE-2009-BLG-151L,0.018,,,
OGLE-2011-BLG-0173L b,0.19,,10.0,,OGLE-2011-BLG-0173L,0.4,,,
OGLE-2011-BLG-0251L b,0.96,,3.86,,OGLE-2011-BLG-0251L,0.47,,,
OGLE-2011-BLG-0265L b,0.88,,1.89,,OGLE-2011-BLG-0265L,0.211,,,
OGLE-2011-BLG-0420L b,9.4,,0.19,,OGLE-2011-BLG-0420L,0.025,,,
OGLE-2012-BLG-0026L b,0.11,,3.82,,OGLE-2012-BLG-0026L,0.82,,,
OGLE-2012-BLG-0026L c,0.68,,4.63,,OGLE-2012-BLG-0026L,0.82,,,
OGLE-2012-BLG-0358L b,1.85,,0.87,,OGLE-2012-BLG-0358L,0.022,,,
OGLE-2012-BLG-0406L b,2.73,,3.45,,OGLE-2012-BLG-0406L,0.44,,,
OGLE-2012-BLG-0563L b,0.39,,0.74,,OGLE-2012-BLG-0563L,0.34,,,5907.0
OGLE-2012-BLG-0724L b,0.47,,1.6,,OGLE-2012-BLG-0724L,0.29,,,
OGLE-2012-BLG-0838 b,0.25,,4.2,,OGLE-2012-BLG-0838,0.54,,,
OGLE-2012-BLG-0950L b,0.11,,2.7,,OGLE-2012-BLG-0950L,0.56,,,5500.0
OGLE-2012-BLG-1323,0.0072,,,,,,,,
OGLE-2013-BLG-0102L b,13.6,,0.8,,OGLE-2013-BLG-0102L,0.097,,,
OGLE-2013-BLG-0132L b,0.26,,3.14,,OGLE-2013-BLG-0132L,0.54,,,
OGLE-2013-BLG-0341L b,0.005222918,,0.702,,OGLE-2013-BLG-0341L,0.1127,,,
OGLE-2013-BLG-0578L b,34.0,,1.16,,OGLE-2013-BLG-0578L,0.124,,,
OGLE-2013-BLG-0911L b,10.08,,10.8,,OGLE-2013-BLG-0911L,0.29,,,
OGLE-2013-BLG-1721L b,0.64,,2.6,,OGLE-2013-BLG-1721L,0.46,,,
OGLE-2013-BLG-1761L b,2.8,,1.8,,OGLE-2013-BLG-1761L,0.33,,,
OGLE-2014-BLG-0124L b,0.64,,3.48,,OGLE-2014-BLG-0124L,0.89,,,
OGLE-2014-BLG-0257L b,36.0,,0.61,,OGLE-2014-BLG-0257L,0.19,,,
OGLE-2014-BLG-0319 b,0.57,,3.49,,OGLE-2014-BLG-0319,0.52,,,
OGLE-2014-BLG-0676L b,3.68,,4.53,,OGLE-2014-BLG-0676L,0.73,,,
OGLE-2014-BLG-1112L b,31.7,,9.63,,OGLE-2014-BLG-1112L,1.07,,,
OGLE-2014-BLG-1186L b,0.142,,,,OGLE-2014-BLG-1186L,0.35,,,
OGLE-2014-BLG-1722L b,0.174,,1.9,,OGLE-2014-BLG-1722L,0.4,,,
OGLE-2014-BLG-1722L c,0.2633,,2.5,,OGLE-2014-BLG-1722L,0.4,,,
OGLE-2014-BLG-1760L b,0.573,,1.75,,OGLE-2014-BLG-1760L,0.51,,,
OGLE-2015-BLG-0051L b,0.72,,0.73,,OGLE-2015-BLG-0051L,0.1,,,
OGLE-2015-BLG-0954L b,4.4,,1.2,,OGLE-2015-BLG-0954L,0.37,,,
OGLE-2015-BLG-0966L b,0.066,,2.4,,OGLE-2015-BLG-0966L,0.38,,,
OGLE-2015-BLG-1319L b,45.0,,0.245,,OGLE-2015-BLG-1319L,0.58,,,
OGLE-2015-BLG-1649 b,2.54,,2.07,,OGLE-2015-BLG-1649,0.34,,,
OGLE-2015-BLG-1670L b,0.0563,,3.2,,OGLE-2015-BLG-1670L,0.55,,,
OGLE-2015-BLG-1771L b,0.433,,0.85,,OGLE-2015-BLG-1771L,0.077,,,
OGLE-2016-BLG-0263L b,4.1,,6.5,,OGLE-2016-BLG-0263L,0.13,,,
OGLE-2016-BLG-0596L b,12.2,,,,OGLE-2016-BLG-0596L,,,,
OGLE-2016-BLG-0613L (AB) b,4.18,,6.4,,OGLE-2016-BLG-0613L (AB),1.0,,,
OGLE-2016-BLG-0693L b,49.0,,5.0,,OGLE-2016-BLG-0693L,,,,
OGLE-2016-BLG-0890 b,38.0,,3.5,,OGLE-2016-BLG-0890,0.4,,,
OGLE-2016-BLG-1067L b,0.43,,1.7,,OGLE-2016-BLG-1067L,0.3,,,
OGLE-2016-BLG-1093L b,0.71,,2.13,,OGLE-2016-BLG-1093L,0.48,,,
OGLE-2016-BLG-1190L b,13.38,,2.17,,OGLE-2016-BLG-1190L,0.88,,,
OGLE-2016-BLG-1195L b,0.0045,,1.16,,OGLE-2016-BLG-1195L,0.078,,,
OGLE-2016-BLG-1227 b,0.79,,3.4,,OGLE-2016-BLG-1227,0.1,,,
OGLE-2016-BLG-1266L b,11.9,,0.42,,OGLE-2016-BLG-1266L,0.0156,,,
OGLE-2016-BLG-1469L b,13.6,,0.33,,OGLE-2016-BLG-1469L,0.048,,,
OGLE-2016-BLG-1540,,,,,,,,,
OGLE-2016-BLG-1598 b,5.91,,2.5,,OGLE-2016-BLG-1598,0.55,,,
OGLE-2016-BLG-1635 b,11.49,,1.34,,OGLE-2016-BLG-1635,,,,
OGLE-2016-BLG-1800 b,2.59,,1.88,,OGLE-2016-BLG-1800,0.41,,,
OGLE-2016-BLG-1850 b,0.02936,,1.46,,OGLE-2016-BLG-1850,,,,
OGLE-2016-BLG-1928,0.0009,,,,,,,,
OGLE-2017-BLG-0114 b,,,0.75,,OGLE-2017-BLG-0114,,,,
OGLE-2017-BLG-0173L b,9.08,,3.75,,OGLE-2017-BLG-0173L,0.417,,,
OGLE-2017-BLG-0373L b,,,,,OGLE-2017-BLG-0373L,0.25,,,
OGLE-2017-BLG-0406 b,0.41,,3.5,,OGLE-2017-BLG-0406,0.56,,,
OGLE-2017-BLG-0448 b,7.3,,5.53,,OGLE-2017-BLG-0448,0.32,,,
OGLE-2017-BLG-0482 b,9.0,,1.8,,OGLE-2017-BLG-0482,0.2,,,
OGLE-2017-BLG-0560,1.9,,,,,,,,
OGLE-2017-BLG-0604 b,0.51,,4.06,,OGLE-2017-BLG-0604,0.7,,,
OGLE-2017-BLG-0614 b,31.5,,4.0,,OGLE-2017-BLG-0614,0.64,,,
OGLE-2017-BLG-0640 b,1.62,,1.14,,OGLE-2017-BLG-0640,0.32,,,
OGLE-2017-BLG-0896,19.0,,,,,,,,
OGLE-2017-BLG-1038 b,13.3,,0.68,,OGLE-2017-BLG-1038,0.17,,,
OGLE-2017-BLG-1049 b,5.53,,3.92,,OGLE-2017-BLG-1049,0.55,,,
OGLE-2017-BLG-1099 b,3.02,,2.73,,OGLE-2017-BLG-1099,0.45,,,
OGLE-2017-BLG-1140L b,1.63,,1.02,,OGLE-2017-BLG-1140L,0.214,,,
OGLE-2017-BLG-1237 b,3.8,,,,OGLE-2017-BLG-1237,0.46,,,
OGLE-2017-BLG-1275 b,5.9,,2.09,,OGLE-2017-BLG-1275,0.63,,,
OGLE-2017-BLG-1375 b,10.33,,2.97,,OGLE-2017-BLG-1375,0.77,,,
OGLE-2017-BLG-1434L b,0.014,,1.18,,OGLE-2017-BLG-1434L,0.23,,,
OGLE-2017-BLG-1522L b,0.75,,0.59,,OGLE-2017-BLG-1522L,0.046,,,
OGLE-2017-BLG-1691L b,0.046,,2.46,,OGLE-2017-BLG-1691L,0.45,,,
