planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
Kepler-1457 b,,0.178,,Kepler-1457,,1.01,1.01,3.72,5866
Kepler-1458 b,,0.246,,Kepler-1458,,0.96,0.94,4.17,5653
Kepler-1459 b,,0.121,,Kepler-1459,,0.78,0.74,3.89,4828
Kepler-145 b,0.117,0.236,,Kepler-145,,1.28,1.98,2.62,6022
Kepler-145 c,0.25,0.385,,Kepler-145,,1.28,1.98,2.62,6022
Kepler-1460 b,,0.175,,Kepler-1460,,0.7,0.67,3.98,4422
Kepler-1461 b,,0.181,,Kepler-1461,,0.79,0.74,3.24,4919
Kepler-1462 b,,0.341,,Kepler-1462,,1,1,4.07,5756
Kepler-1463 b,,0.166,,Kepler-1463,,0.96,0.95,4.79,5679
Kepler-1464 b,,0.148,,Kepler-1464,,1.02,1.01,3.89,5828
Kepler-1464 c,,0.089,,Kepler-1464,,1.02,1.01,3.89,5828
Kepler-1465 b,,0.158,,Kepler-1465,,0.75,0.71,3.72,4726
Kepler-1466 b,,0.138,,Kepler-1466,,1.01,1.02,3.89,5884
Kepler-1467 b,,0.294,,Kepler-1467,,0.86,0.82,4.37,5332
Kepler-1468 b,,0.154,,Kepler-1468,,1.03,1.841,3.55,5774.53
Kepler-1468 c,,0.103,,Kepler-1468,,1.03,1.841,3.55,5774.53
Kepler-1468 d,,0.29717,819,Kepler-1468,0.1456,1.03,1.841,3.55,5774.53
Kepler-1469 b,,0.25,,Kepler-1469,,0.92,0.89,4.47,5507
Kepler-146 b,,0.331,,Kepler-146,0.2,1.1,1.16,,6034
Kepler-146 c,,0.2792,,Kepler-146,0.364,1.1,1.16,,6034
Kepler-1470 b,,0.095,,Kepler-1470,,0.8,0.76,4.57,4961
Kepler-1471 b,,0.126,,Kepler-1471,,0.95,0.93,4.57,5660
Kepler-1472 b,,0.17,,Kepler-1472,,1.16,1.25,3.09,6159
Kepler-1473 b,,0.106,,Kepler-1473,,1.09,1.09,2.63,6046
Kepler-1474 b,,0.193,,Kepler-1474,,1.04,1.04,3.8,5870
Kepler-1475 b,,0.261,,Kepler-1475,,1.18,1.28,2.82,6214
Kepler-1476 b,,0.149,,Kepler-1476,,0.98,0.96,4.57,5663
Kepler-1477 b,,0.105,,Kepler-1477,,0.81,0.78,4.68,5100
Kepler-1478 b,,0.154,,Kepler-1478,,1.04,1.06,3.98,5904
Kepler-1479 b,,0.163,,Kepler-1479,,0.99,0.98,4.27,5796
Kepler-147 b,,0.136,,Kepler-147,0.113,1.01,1.47,,6012
Kepler-147 c,,0.217,,Kepler-147,0.216,1.01,1.47,,6012
Kepler-1480 b,,0.149,,Kepler-1480,,0.85,0.81,4.79,5156
Kepler-1481 b,,0.11,,Kepler-1481,,0.8,0.75,3.89,4908
Kepler-1482 b,,0.09,,Kepler-1482,,0.88,0.84,4.47,5381
Kepler-1483 b,,0.136,,Kepler-1483,,1.25,1.4,2.4,6337
Kepler-1484 b,,0.188,,Kepler-1484,,0.94,0.92,3.98,5730
Kepler-1485 b,,0.131,,Kepler-1485,,1.11,1.12,2.51,6087
Kepler-1486 b,,0.207,,Kepler-1486,,1.08,1.12,3.55,5965
Kepler-1487 b,,0.19,,Kepler-1487,,1.38,1.63,1.95,6541
Kepler-1488 b,,0.166,,Kepler-1488,,1.03,1.9769,6.92,5757.09
Kepler-1488 c,,0.14729,1212,Kepler-1488,0.0658,1.03,1.9769,6.92,5757.09
Kepler-1489 b,,0.158,,Kepler-1489,,0.93,0.9,4.07,5655
Kepler-148 b,,0.161,,Kepler-148,0.028,,0.85,,5272
Kepler-148 c,,0.321,,Kepler-148,0.05,,0.85,,5272
Kepler-148 d,,0.774,,Kepler-148,,,0.85,,5272
Kepler-1490 b,,0.271,,Kepler-1490,,0.9,0.87,4.57,5515
Kepler-1491 b,,0.135,,Kepler-1491,,1,0.99,4.57,5728
Kepler-1492 b,,0.133,,Kepler-1492,,0.77,0.72,2.82,4712
Kepler-1493 b,,0.126,,Kepler-1493,,1.06,1.29,6.46,5863
Kepler-1494 b,,0.274,,Kepler-1494,,0.96,0.94,4.37,5659
Kepler-1495 b,,0.262,,Kepler-1495,,1.03,1.04,4.17,5831
Kepler-1496 b,,0.198,,Kepler-1496,,1.18,1.27,2.95,6182
Kepler-1497 b,,0.148,,Kepler-1497,,0.96,0.95,4.27,5675
Kepler-1498 b,,0.119,,Kepler-1498,,0.86,0.81,4.17,5256
Kepler-1499 b,,0.106,,Kepler-1499,,0.82,0.78,4.68,5097
Kepler-149 b,,0.376,,Kepler-149,0.184,,0.95,,5381
Kepler-149 c,,0.144,,Kepler-149,0.281,,0.95,,5381
Kepler-149 d,,0.353,,Kepler-149,0.571,,0.95,,5381
Kepler-14 b,8.4,1.136,1573,Kepler-14,,1.51,2.05,2.2,6395
Kepler-1500 b,,0.107,,Kepler-1500,,1,1,4.07,5845
Kepler-1501 b,,0.139,,Kepler-1501,,1.2,1.3,2.75,6229
Kepler-1502 b,,0.284,,Kepler-1502,,1.44,1.72,1.7,6666
Kepler-1503 b,,0.203,,Kepler-1503,,0.77,0.74,5.13,5069
Kepler-1504 b,,0.19,,Kepler-1504,,0.85,0.81,4.47,5393
Kepler-1505 b,,0.083,,Kepler-1505,,0.93,0.86,1.7,5686
Kepler-1506 b,,0.118,,Kepler-1506,,0.95,0.93,3.98,5676
Kepler-1507 b,,0.075,,Kepler-1507,,0.89,0.85,4.57,5410
Kepler-1508 b,,0.119,,Kepler-1508,,1.14,1.22,2.69,6158
Kepler-1509 b,,0.165,,Kepler-1509,,1,0.99,3.98,5780
Kepler-150 b,,0.112,,Kepler-150,0.044,,0.94,,5560
Kepler-150 c,,0.329,,Kepler-150,0.073,,0.94,,5560
Kepler-150 d,,0.249,,Kepler-150,0.104,,0.94,,5560
Kepler-150 e,,0.278,,Kepler-150,0.189,,0.94,,5560
Kepler-150 f,0.0283,0.325,,Kepler-150,1.24,,0.94,,5560
Kepler-1510 b,,0.3,,Kepler-1510,,1.19,1.28,2.75,6200
Kepler-1511 b,,0.15,,Kepler-1511,,1.17,1.29,3.31,6064
Kepler-1512 b,,0.105,,Kepler-1512,,0.73,0.67,1.78,4372
Kepler-1513 b,,0.755,,Kepler-1513,,0.99,0.97,3.98,5617
Kepler-1513 c,0.2659,,,Kepler-1513,,0.99,0.97,3.98,5617
Kepler-1514 b,5.28,1.108,388,Kepler-1514,0.753,1.2,1.29,2.9,6145
Kepler-1514 c,,0.105,1066,Kepler-1514,0.0997,1.2,1.29,2.9,6145
Kepler-1515 b,,0.852,,Kepler-1515,,1.3,1.41,1.82,6511
Kepler-1516 b,,0.156,,Kepler-1516,,1.04,1.07,4.07,5904
Kepler-1517 b,,0.871,,Kepler-1517,,1.58,1.95,1.38,7010
Kepler-1518 b,,0.272,,Kepler-1518,,1.54,1.88,1.48,6846
Kepler-1519 b,,0.63,,Kepler-1519,,0.94,0.91,3.98,5644
Kepler-151 b,,0.273,,Kepler-151,0.116,0.83,0.83,,5460
Kepler-151 c,,0.186,,Kepler-151,0.16,0.83,0.83,,5460
Kepler-1520 b,6.30E-05,,,Kepler-1520,0.013,0.76,0.71,4.47,4677
Kepler-1521 b,,0.223,,Kepler-1521,,0.81,0.76,4.47,5042
Kepler-1522 b,,0.154,,Kepler-1522,,0.96,0.93,3.89,5706
Kepler-1523 b,,0.141,,Kepler-1523,,0.97,0.96,4.37,5708
Kepler-1524 b,,0.316,,Kepler-1524,,1.17,1.25,2.88,6179
Kepler-1525 b,,0.081,,Kepler-1525,,1.07,1.04,2.82,5748
Kepler-1526 b,,0.217,,Kepler-1526,,0.73,0.69,4.68,4601
Kepler-1527 b,,0.426,,Kepler-1527,,1.21,1.32,2.82,6224
Kepler-1528 b,,0.13,,Kepler-1528,,1.03,1.03,3.89,5857
Kepler-1529 b,,0.187,,Kepler-1529,,0.81,0.77,4.79,5048
Kepler-152 b,,0.249,,Kepler-152,0.124,,0.72,,5088
Kepler-152 c,,0.213,,Kepler-152,0.356,,0.72,,5088
Kepler-1530 b,,0.146,,Kepler-1530,,0.92,0.817,4.27,5338.57
Kepler-1530 c,,0.147,,Kepler-1530,,0.92,0.817,4.27,5338.57
Kepler-1530 d,,0.29245,972,Kepler-1530,0.0865,0.92,0.817,4.27,5338.57
Kepler-1531 b,,0.099,,Kepler-1531,,1.16,1.27,2.82,6260
Kepler-1532 b,,0.12,,Kepler-1532,,0.91,0.88,4.27,5559
Kepler-1533 b,,0.309,,Kepler-1533,,1.31,1.51,2.19,6431
Kepler-1534 b,,0.169,,Kepler-1534,,0.9,0.86,4.57,5442
Kepler-1535 b,,0.227,,Kepler-1535,,1.08,1.11,3.47,6021
Kepler-1536 b,,0.28,,Kepler-1536,,0.71,0.67,2.95,4434
Kepler-1537 b,,0.105,,Kepler-1537,,0.81,0.77,5.01,5079
Kepler-1538 b,,0.252,,Kepler-1538,,1.03,1.03,4.37,5837
Kepler-1539 b,,0.241,,Kepler-1539,,0.84,0.8,4.79,5176
Kepler-153 b,,0.261,,Kepler-153,0.129,,0.89,,5404
Kepler-153 c,,0.226,,Kepler-153,0.237,,0.89,,5404
Kepler-1540 b,,0.222,,Kepler-1540,,0.74,0.69,2.51,4540
Kepler-1541 b,,0.103,,Kepler-1541,,0.86,0.81,4.47,5282
Kepler-1542 b,,0.068,,Kepler-1542,,0.94,0.99,8.51,5564
Kepler-1542 c,,0.058,,Kepler-1542,,0.94,0.99,8.51,5564
Kepler-1542 d,,0.078,,Kepler-1542,,0.94,0.99,8.51,5564
Kepler-1542 e,,0.068,,Kepler-1542,,0.94,0.99,8.51,5564
Kepler-1543 b,,0.242,,Kepler-1543,,1.39,1.65,1.91,6561
Kepler-1544 b,,0.159,,Kepler-1544,,0.81,0.74,2.34,4886
Kepler-1545 b,,0.241,,Kepler-1545,,0.84,0.8,4.47,5201
Kepler-1546 b,,0.279,,Kepler-1546,,0.95,0.93,3.72,5623
Kepler-1547 b,,0.08,,Kepler-1547,,1.12,1.18,3.39,6078
Kepler-1548 b,,0.236,,Kepler-1548,,0.99,0.97,4.37,5706
Kepler-1549 b,,0.229,,Kepler-1549,,0.88,0.84,4.79,5324
Kepler-154 b,,0.202,,Kepler-154,0.198,0.89,1,,5690
Kepler-154 c,,0.263,,Kepler-154,0.303,0.89,1,,5690
Kepler-154 d,,0.343,,Kepler-154,,0.89,1,,5690
Kepler-154 e,,0.134,,Kepler-154,,0.89,1,,5690
Kepler-154 f,,0.134,,Kepler-154,,0.89,1,,5690
Kepler-154 g,,0.9145,,Kepler-154,,0.89,1,,5690
Kepler-1550 b,,0.269,,Kepler-1550,,1.07,1.11,3.55,5991
Kepler-1551 b,,0.237,,Kepler-1551,,1.14,1.22,2.88,6136
Kepler-1552 b,,0.22,,Kepler-1552,,0.85,0.78,3.31,5202
Kepler-1553 b,,0.103,,Kepler-1553,,0.85,0.81,4.57,5288
Kepler-1554 b,,0.259,,Kepler-1554,,0.84,0.81,4.68,5297
Kepler-1555 b,,0.144,,Kepler-1555,,1.04,1.06,4.37,5866
Kepler-1556 b,,0.175,,Kepler-1556,,0.97,0.95,4.9,5608
Kepler-1557 b,,0.136,,Kepler-1557,,1.11,1.17,3.31,6099
Kepler-1558 b,,0.061,,Kepler-1558,,0.83,0.79,4.9,5101
Kepler-1559 b,,0.064,,Kepler-1559,,0.86,0.82,4.27,5316
Kepler-155 b,,0.186,,Kepler-155,0.056,0.58,0.62,,4508
Kepler-155 c,,0.2,,Kepler-155,0.242,0.58,0.62,,4508
Kepler-1560 b,,0.079,,Kepler-1560,,1.02,1.02,4.17,5815
Kepler-1561 b,,0.097,,Kepler-1561,,1.07,1.11,3.39,5957
Kepler-1562 b,,0.317,,Kepler-1562,,1.02,1.05,4.79,5760
Kepler-1563 b,,0.067,,Kepler-1563,,1,0.99,4.07,5765
Kepler-1564 b,,0.131,,Kepler-1564,,0.93,0.9,4.57,5528
Kepler-1565 b,,0.106,,Kepler-1565,,0.76,0.73,5.62,4940
Kepler-1566 b,,0.07,,Kepler-1566,,0.84,0.81,5.01,5254
Kepler-1567 b,,0.244,,Kepler-1567,,0.95,0.93,4.17,5655
Kepler-1568 b,,0.116,,Kepler-1568,,1.09,1.19,4.57,5956
Kepler-1569 b,,0.15,,Kepler-1569,,1.25,1.4,2.45,6319
Kepler-156 b,,0.205,,Kepler-156,0.054,,0.81,,5094
Kepler-156 c,,0.227,,Kepler-156,0.117,,0.81,,5094
Kepler-1570 b,,0.095,,Kepler-1570,,0.92,0.89,4.17,5550
Kepler-1571 b,,0.136,,Kepler-1571,,1.23,1.39,2.34,6297
Kepler-1572 b,,0.084,,Kepler-1572,,0.97,0.95,4.79,5618
Kepler-1573 b,,0.107,,Kepler-1573,,1.01,1,4.07,5808
Kepler-1574 b,,0.115,,Kepler-1574,,1.06,1.08,3.8,5892
Kepler-1575 b,,0.117,,Kepler-1575,,0.95,0.92,4.17,5667
Kepler-1576 b,,0.093,,Kepler-1576,,1.05,1.06,4.07,5876
Kepler-1577 b,,0.101,,Kepler-1577,,0.78,0.74,4.27,4862
Kepler-1578 b,,0.093,,Kepler-1578,,0.9,0.86,4.27,5545
Kepler-1579 b,,0.075,,Kepler-1579,,0.75,0.7,2.24,4584
Kepler-157 b,,0.118,,Kepler-157,0.028,,1.04,,5774
Kepler-157 c,,0.2,,Kepler-157,0.11,,1.04,,5774
Kepler-157 d,,0.13,,Kepler-157,,,1.04,,5774
Kepler-1580 b,,0.188,,Kepler-1580,,1.47,2.15,2.75,6228
Kepler-1581 b,,0.071,,Kepler-1581,,1.12,1.23,4.17,6022
Kepler-1582 b,,0.133,,Kepler-1582,,0.28,0.3,7.76,3208
Kepler-1583 b,,0.054,,Kepler-1583,,0.94,0.91,4.27,5645
Kepler-1584 b,,0.144,,Kepler-1584,,1.1,1.13,3.31,6069
Kepler-1585 b,,0.16,,Kepler-1585,,0.94,0.91,4.37,5538
Kepler-1586 b,,0.136,,Kepler-1586,,1.45,1.75,1.7,6681
Kepler-1587 b,,0.119,,Kepler-1587,,1.08,1.22,5.01,5933
Kepler-1588 b,,0.068,,Kepler-1588,,0.96,0.99,5.5,5817
Kepler-1589 b,,0.097,,Kepler-1589,,1.18,1.25,2.75,6166
Kepler-158 b,,0.189,,Kepler-158,0.111,,0.62,,4623
Kepler-158 c,,0.17,,Kepler-158,0.158,,0.62,,4623
Kepler-1590 b,,0.102,,Kepler-1590,,1.11,1.16,3.39,6053
Kepler-1591 b,,0.113,,Kepler-1591,,1.1,1.16,3.24,6082
Kepler-1592 b,,0.137,,Kepler-1592,,1.18,1.28,2.69,6213
Kepler-1593 b,,0.283,,Kepler-1593,,0.81,0.77,3.63,4995
Kepler-1594 b,,0.095,,Kepler-1594,,1.06,1.08,3.89,5946
Kepler-1595 b,,0.11,,Kepler-1595,,0.84,0.8,4.68,5203
Kepler-1596 b,,0.17,,Kepler-1596,,0.95,0.92,3.89,5706
Kepler-1597 b,,0.095,,Kepler-1597,,1.25,1.39,2.4,6377
Kepler-1598 b,,0.085,,Kepler-1598,,1.07,1.09,3.8,5940
Kepler-1599 b,,0.145,,Kepler-1599,,0.99,0.99,4.27,5767
Kepler-159 b,,0.212,,Kepler-159,0.082,,0.66,,4625
Kepler-159 c,,0.304,,Kepler-159,0.218,,0.66,,4625
Kepler-15 b,0.66,0.96,1225,Kepler-15,0.05714,1.02,0.99,3.7,5515
Kepler-1600 b,,0.279,,Kepler-1600,,0.86,0.8658,4.68,5102
Kepler-1600 c,,0.17326,794,Kepler-1600,0.0689,0.86,0.8658,4.68,5102
Kepler-1601 b,,0.073,,Kepler-1601,,1.04,1.07,4.27,5869
Kepler-1602 b,,0.12,,Kepler-1602,,1.22,1.36,2.51,6296
Kepler-1603 b,,0.115,,Kepler-1603,,1.21,1.31,2.82,6241
Kepler-1604 b,,0.126,,Kepler-1604,,0.81,0.76,4.17,4976
Kepler-1605 b,,0.096,,Kepler-1605,,0.86,0.82,4.68,5280
Kepler-1606 b,,0.185,,Kepler-1606,,0.9,0.86,4.27,5422
Kepler-1607 b,,0.082,,Kepler-1607,,1.14,1.21,3.16,6116
Kepler-1608 b,,0.154,,Kepler-1608,,0.75,0.72,5.13,4992
Kepler-1609 b,,0.198,,Kepler-1609,,1.18,1.27,3.02,6132
Kepler-160 b,,0.153,,Kepler-160,0.05511,,1.12,,5471
Kepler-160 c,,0.335,,Kepler-160,0.1192,,1.12,,5471
Kepler-160 d,0.31463,,,Kepler-160,0.17,,1.12,,5471
Kepler-1610 b,,0.144,,Kepler-1610,,0.91,0.87,4.68,5383
Kepler-1610 c,,0.1865,433,Kepler-1610,0.2323,0.91,0.87,4.68,5383
Kepler-1611 b,,0.072,,Kepler-1611,,0.94,0.93,5.01,5605
Kepler-1612 b,,0.092,,Kepler-1612,,0.96,0.94,4.57,5643
Kepler-1613 b,,0.186,,Kepler-1613,,1.08,1.12,3.55,6005
Kepler-1614 b,,0.133,,Kepler-1614,,0.79,0.76,5.5,5121
Kepler-1615 b,,0.184,,Kepler-1615,,1.04,1.05,3.89,5865
Kepler-1616 b,,0.091,,Kepler-1616,,1.21,1.34,2.75,6266
Kepler-1617 b,,0.107,,Kepler-1617,,1.15,1.22,3.02,6167
Kepler-1618 b,,0.112,,Kepler-1618,,1.41,1.65,1.78,6620
Kepler-1619 b,,0.068,,Kepler-1619,,1,1,4.27,5852
Kepler-161 b,,0.189,,Kepler-161,0.054,0.77,0.81,,5078
Kepler-161 c,,0.183,,Kepler-161,0.068,0.77,0.81,,5078
Kepler-1620 b,,0.144,,Kepler-1620,,1.15,1.23,3.02,6157
Kepler-1621 b,,0.193,,Kepler-1621,,1.15,1.24,2.69,6158
Kepler-1622 b,,0.131,,Kepler-1622,,1.31,1.5,2.19,6436
Kepler-1623 b,,0.117,,Kepler-1623,,1,1,4.27,5772
Kepler-1624 b,,0.509,,Kepler-1624,,0.5,0.47,4.47,3636
Kepler-1625 b,11.6,0.541,,Kepler-1625,,0.96,0.94,4.37,5677
Kepler-1626 b,,0.18,,Kepler-1626,,1.51,1.85,1.55,6826
Kepler-1627 b,,0.329,,Kepler-1627,,0.87,0.84,0.038,5445
Kepler-1628 b,,0.574,,Kepler-1628,,0.55,0.52,5.13,3724
Kepler-1629 b,,0.069,,Kepler-1629,,1.01,1.01,4.27,5776
Kepler-162 b,,0.112,,Kepler-162,0.069,,0.96,,5816
Kepler-162 c,,0.27,,Kepler-162,0.137,,0.96,,5816
Kepler-1630 b,,0.195,,Kepler-1630,,0.66,0.63,5.01,4736
Kepler-1631 b,,0.12,,Kepler-1631,,0.97,0.95,4.17,5679
Kepler-1632 b,,0.22,,Kepler-1632,,1.12,1.19,3.09,6137
Kepler-1633 b,,0.141,,Kepler-1633,,1.2,1.32,2.82,6256
Kepler-1634 b,,0.285,,Kepler-1634,,0.92,0.89,4.47,5474
Kepler-1635 b,,0.325,,Kepler-1635,,0.89,0.85,4.9,5347
Kepler-1636 b,,0.288,,Kepler-1636,,1.01,1.02,3.98,5797
Kepler-1637 b,,0.079,,Kepler-1637,,1.02,1.02,4.17,5789
Kepler-1638 b,,0.167,,Kepler-1638,,0.97,0.95,4.37,5710
Kepler-1639 b,,0.23,,Kepler-1639,,1.12,1.18,3.16,6150
Kepler-163 b,,0.094,,Kepler-163,0.078,0.96,0.92,,5776
Kepler-163 c,,0.202,,Kepler-163,0.152,0.96,0.92,,5776
Kepler-1640 b,,0.43,,Kepler-1640,,1.27,1.43,2.4,6324
Kepler-1641 b,,0.277,,Kepler-1641,,1.12,1.19,3.02,6152
Kepler-1641 c,,0.263,,Kepler-1641,,1.12,1.19,3.02,6152
Kepler-1642 b,,0.285,,Kepler-1642,,0.88,0.84,4.47,5355
Kepler-1642 c,,0.237,,Kepler-1642,,0.88,0.84,4.47,5355
Kepler-1643 b,,0.205,,Kepler-1643,,0.92,0.88,3.89,5508
Kepler-1644 b,,0.168,,Kepler-1644,,0.89,0.86,4.27,5499
Kepler-1645 b,,0.159,,Kepler-1645,,1.02,1.02,4.17,5812
Kepler-1646 b,,0.11,,Kepler-1646,,0.24,0.26,4.68,3299
Kepler-1647 (AB) b,1.52,1.06,,Kepler-1647 (AB),2.7205,2.1885,1.79,,6210
Kepler-1649 b,,0.091,307,Kepler-1649,0.0514,0.2,0.23,,3240
Kepler-1649 c,,0.095,234,Kepler-1649,,0.2,0.23,,3240
Kepler-164 b,,0.126,,Kepler-164,0.058,1.11,1.15,,5888
Kepler-164 c,,0.244,,Kepler-164,0.097,1.11,1.15,,5888
Kepler-164 d,,0.219,,Kepler-164,0.187,1.11,1.15,,5888
Kepler-1650 b,,0.086,582,Kepler-1650,0.0163,0.33,0.33,,3410
Kepler-1651 b,,0.164,353,Kepler-1651,0.0619,0.52,0.5,,3713
Kepler-1652 b,,0.143,268,Kepler-1652,0.1654,0.4,0.38,3.2,3638
Kepler-1653 b,,0.194,284,Kepler-1653,0.4706,0.72,0.69,7.7,4807
Kepler-1654 b,0.5,0.819,206,Kepler-1654,2.026,1.01,1.18,5,5597
Kepler-1655 b,0.01573,0.197,,Kepler-1655,0.103,1.03,1.03,2.56,6148
Kepler-1656 b,0.1504,0.448,651,Kepler-1656,0.1974,1.03,1.1,6.31,5731
Kepler-1656 c,0.3977,,,Kepler-1656,3.053,1.03,1.1,6.31,5731
Kepler-1657 b,1.93,0.99,347,Kepler-1657,0.534,1.01,0.96,3.2,5830
Kepler-1658 b,5.88,1.07,,Kepler-1658,0.0544,1.45,2.89,,6216
Kepler-1659 b,0.02832,0.17,660,Kepler-1659,0.112293,1.02,0.97,,5370
Kepler-1659 c,0.01447,0.17,755,Kepler-1659,0.14728,1.02,0.97,,5370
Kepler-165 b,,0.207,,Kepler-165,0.072,,0.77,,5211
Kepler-165 c,,0.199,,Kepler-165,0.11,,0.77,,5211
Kepler-1660 (AB) b,4.89,,,Kepler-1660 (AB),,2.2,,,
Kepler-1661 (AB) b,0.053,,,Kepler-1661 (AB),,1.1,,,
Kepler-1662 b,0.2234,0.7904,372,Kepler-1662,0.5187,1.08,1.14,,5922
Kepler-1662 c,0.0472,0.4853,290,Kepler-1662,0.8539,1.08,1.14,,5922
Kepler-1663 b,,0.295,,Kepler-1663,,,0.71,,3793.47
Kepler-1664 b,,0.271,810,Kepler-1664,0.1189,1.081,1.146,,5945.95
Kepler-1665 b,,0.253,655,Kepler-1665,0.0928,0.746,0.8,,4949.25
Kepler-1666 b,,0.257,672,Kepler-1666,0.1761,1.084,1.21,,5818.75
Kepler-1666 c,,0.289,578,Kepler-1666,0.2383,1.084,1.21,,5818.75
Kepler-1667 b,,0.266,520,Kepler-1667,0.386,1.094,1.06,,5951
Kepler-1668 b,,0.388,721,Kepler-1668,0.124,1.065,1.05,,5328.33
Kepler-1669 b,,0.248,496,Kepler-1669,0.0729,0.67,0.714,13.9,4303
Kepler-1669 c,,0.1696,897,Kepler-1669,0.0223,0.67,0.714,13.9,4303
Kepler-1669 d,,0.143,669,Kepler-1669,0.0468,0.67,0.714,13.9,4303
Kepler-166 b,,0.203,,Kepler-166,0.072,,0.74,,5413
Kepler-166 c,,0.212,,Kepler-166,0.195,,0.74,,5413
Kepler-166 d,,0.154,,Kepler-166,,,0.74,,5413
Kepler-1670 b,,0.299,734,Kepler-1670,0.151,1.086,1.57,,5766
Kepler-1671 b,,0.118,984,Kepler-1671,0.0464,0.766,0.92,,5085.99
Kepler-1672 b,,0.265,411,Kepler-1672,0.5431,0.936,1.08,,5899.25
Kepler-1673 b,,0.262,604,Kepler-1673,0.2114,1.1,1.04,,6220.81
Kepler-1674 b,,0.286,419,Kepler-1674,0.3008,0.925,0.87,,5326.33
Kepler-1675 b,,0.279,493,Kepler-1675,0.3235,1.137,1.13,,5747
Kepler-1676 b,,0.301,613,Kepler-1676,0.1931,1.07,0.88,,5893
Kepler-1677 b,,0.241,726,Kepler-1677,0.1634,1.195,1.2,,5804.5
Kepler-1678 b,,0.295,337,Kepler-1678,0.5407,0.961,0.9,,5421
Kepler-1679 b,,0.185,813,Kepler-1679,0.0892,0.996,0.9,,5358.25
Kepler-167 b,,0.144,914,Kepler-167,0.0483,0.77,0.73,3.3,4890
Kepler-167 c,,0.138,768,Kepler-167,0.0684,0.77,0.73,3.3,4890
Kepler-167 d,0.006,0.107,536,Kepler-167,0.1405,0.77,0.73,3.3,4890
Kepler-167 e,4,0.906,131,Kepler-167,1.89,0.77,0.73,3.3,4890
Kepler-1680 b,,0.121,771,Kepler-1680,0.0784,0.832,0.7,,4975.5
Kepler-1681 b,,0.228,387,Kepler-1681,0.2985,0.724,0.89,,5173.08
Kepler-1682 b,,0.258,729,Kepler-1682,0.1152,0.926,0.84,,5517.75
Kepler-1683 b,,0.167,723,Kepler-1683,0.1155,0.909,0.95,,5047.59
Kepler-1684 b,,0.256,341,Kepler-1684,0.2259,0.672,0.6,,4787
Kepler-1685 b,,0.23,625,Kepler-1685,0.1485,1.038,0.79,,5378.58
Kepler-1686 b,,0.127,913,Kepler-1686,0.0866,0.996,1.14,,5774.33
Kepler-1687 b,,0.148,578,Kepler-1687,0.0522,0.565,0.65,,4249
Kepler-1688 b,,0.113,1184,Kepler-1688,0.0608,0.949,1.826,,4936.24
Kepler-1689 b,,0.084,909,Kepler-1689,0.0791,0.916,0.96,,5806
Kepler-168 b,,0.13,,Kepler-168,0.056,,1.11,,6282
Kepler-168 c,,0.24,,Kepler-168,0.116,,1.11,,6282
Kepler-1690 b,,0.251,273,Kepler-1690,0.7143,0.882,0.87,,5336.5
Kepler-1691 b,,0.164,1324,Kepler-1691,0.0514,1.221,1.21,,5753
Kepler-1692 b,,0.099,898,Kepler-1692,0.0646,1.012,0.94,,4935.73
Kepler-1693 b,,0.115,729,Kepler-1693,0.1015,0.95,0.8783,0.8,5432.34
Kepler-1693 c,,0.087154,1059,Kepler-1693,0.0588,0.95,0.8783,0.8,5432.34
Kepler-1694 b,,0.105,841,Kepler-1694,0.0426,0.675,0.72,,4958
Kepler-1695 b,,0.1,954,Kepler-1695,0.0526,0.865,0.95,,5437
Kepler-1696 b,,0.251,454,Kepler-1696,0.3245,1.047,1.27,,5379
Kepler-1697 b,,0.112,630,Kepler-1697,0.2008,0.962,0.64,,5017
Kepler-1698 b,,0.096,1356,Kepler-1698,0.0199,0.717,0.74,,4945.83
Kepler-1699 b,,0.14,1013,Kepler-1699,0.0417,0.791,0.724,,5214.4
Kepler-169 b,,0.101,,Kepler-169,0.04,0.86,0.76,,4997
Kepler-169 c,,0.108,,Kepler-169,0.062,0.86,0.76,,4997
Kepler-169 d,,0.112,,Kepler-169,0.075,0.86,0.76,,4997
Kepler-169 e,,0.196,,Kepler-169,0.105,0.86,0.76,,4997
Kepler-169 f,,0.23,,Kepler-169,0.359,0.86,0.76,,4997
Kepler-16 (AB) b,0.333,0.7538,,Kepler-16 (AB),0.7048,0.8499,0.65,,4450
Kepler-1700 b,,0.259,335,Kepler-1700,0.8017,1.249,1.14,,5885
Kepler-1701 b,,0.198,278,Kepler-1701,0.5689,0.864,0.83,,5116.26
Kepler-1702 b,,0.143,557,Kepler-1702,0.1281,0.829,0.74,,5003.75
Kepler-1703 b,,0.1062,785,Kepler-1703,0.1462,0.858,1.255,,6001
Kepler-1703 c,,0.1079,686,Kepler-1703,0.1911,0.858,1.255,,6001
Kepler-1704 b,4.16,1.066,253.8,Kepler-1704,2.027,1.132,1.697,7.4,5746
Kepler-1705 b,0.01406,0.1811,789,Kepler-1705,0.08,0.838,0.768,,5775
Kepler-1705 c,0.01705,0.1829,1095,Kepler-1705,0.0416,0.838,0.768,,5775
Kepler-1706 b,2,,,Kepler-1706,,1.22,1.574,,6118
